Jugador,Equipo,Competición,Posición,Edad,Partidos,Minutos,Goles,Asistencias,xG,xAG,npxG,ValorMercado,PasesCompletados,IntentosPase,PctPasesCompletados,DistanciaTotalPases,DistanciaProgresiva,PasesClave,Entradas,Intercepciones,Bloqueos,TarjetasAmarillas,TarjetasRojas,Goles_Asistencias,xG_xAG,Equiv_90min,EntradasGanadas,AsistDesdeCruzados,Tiros,TirosAlArco
Scott McTominay,Napoli,Serie A,MF,28,26,2239,6,2,5.6,1.6,5.6,40000000.0,588,698,84.2,9731,2147,18,36,19,15,3,0,8,0.29,24.9,20,0,58,21
Riccardo Calafiori,Arsenal,Premier League,DF,22,17,925,2,1,0.9,0.3,0.9,40000000.0,449,526,85.4,6549,1644,6,26,9,12,4,0,3,0.11,10.3,18,1,10,6
João Palhinha,Bayern Munich,Bundesliga,MF,29,14,656,0,0,0.7,0.2,0.7,40000000.0,488,529,92.2,7851,1626,4,19,4,12,2,1,0,0.12,7.3,14,0,10,3
Rico Lewis,Manchester City,Premier League,"DF,MF",20,24,1703,1,2,1.4,0.3,1.4,40000000.0,1049,1141,91.9,15077,2841,7,28,11,25,5,1,3,0.09,18.9,18,0,10,2
Roméo Lavia,Chelsea,Premier League,MF,21,11,541,0,1,0.2,0.7,0.2,40000000.0,269,293,91.8,4535,1211,6,17,11,6,4,0,1,0.14,6.0,10,0,1,0
Exequiel Palacios,Leverkusen,Bundesliga,MF,26,19,831,1,6,1.4,2.2,1.4,40000000.0,690,764,90.3,9842,2705,24,17,10,12,1,0,7,0.38,9.2,12,2,10,7
Matthijs de Ligt,Manchester Utd,Premier League,DF,25,28,2089,2,0,2.5,0.3,2.5,40000000.0,1225,1360,90.1,21549,5917,6,30,33,29,3,0,2,0.12,23.2,22,1,18,9
Conor Gallagher,Atlético Madrid,La Liga,MF,25,23,1200,2,2,1.9,1.0,1.9,40000000.0,528,615,85.9,7137,1580,9,36,14,20,2,0,4,0.21,13.3,26,1,12,2
Maghnes Akliouche,Monaco,Ligue 1,"FW,MF",23,26,1957,4,8,7.0,6.1,6.2,40000000.0,828,1016,81.5,11478,3446,40,44,12,16,2,0,12,0.6,21.7,27,2,47,12
David Raya,Arsenal,Premier League,GK,29,31,2790,0,0,0.0,0.0,0.0,40000000.0,848,1148,73.9,20272,13966,0,0,2,0,2,0,0,0.0,31.0,0,0,0,0
Gregor Kobel,Dortmund,Bundesliga,GK,27,26,2340,0,0,0.0,0.0,0.0,40000000.0,812,1009,80.5,19241,12983,1,0,0,0,1,0,0,0.0,26.0,0,0,0,0
Robin Le Normand,Atlético Madrid,La Liga,DF,28,19,1490,0,0,1.1,0.5,1.1,40000000.0,802,890,90.1,13748,4145,3,21,6,13,7,0,0,0.09,16.6,13,0,8,1
Pau Torres,Aston Villa,Premier League,DF,28,19,1639,0,0,0.5,0.0,0.5,40000000.0,990,1122,88.2,17143,6468,1,20,9,14,1,0,0,0.03,18.2,14,0,8,2
Hugo Larsson,Eint Frankfurt,Bundesliga,MF,20,27,1923,3,0,3.0,1.2,3.0,40000000.0,881,1010,87.2,13694,4187,18,36,23,33,2,0,3,0.19,21.4,23,3,19,9
Pape Matar Sarr,Tottenham,Premier League,MF,22,28,1423,3,2,3.1,1.5,3.1,40000000.0,744,853,87.2,11473,2675,14,40,22,21,6,0,5,0.3,15.8,28,2,27,12
Takefusa Kubo,Real Sociedad,La Liga,"MF,FW",23,27,1729,5,0,3.1,2.9,3.1,40000000.0,486,688,70.6,6811,2139,35,23,9,28,5,0,5,0.31,19.2,14,8,33,11
Éder Militão,Real Madrid,La Liga,DF,27,12,938,1,1,0.6,0.5,0.6,40000000.0,636,712,89.3,13095,4633,6,19,12,13,2,0,2,0.11,10.4,17,0,10,3
Noni Madueke,Chelsea,Premier League,FW,23,24,1476,7,3,7.6,3.6,7.6,40000000.0,382,488,78.3,5559,1376,24,17,7,11,3,0,10,0.68,16.4,12,6,64,25
Karim Adeyemi,Dortmund,Bundesliga,"FW,MF",23,19,1161,4,4,4.3,5.2,4.3,40000000.0,258,342,75.4,3826,789,25,17,5,12,3,0,8,0.74,12.9,14,1,40,14
Boubacar Kamara,Aston Villa,Premier League,MF,25,19,1200,0,0,0.3,0.4,0.3,38000000.0,610,685,89.1,9530,2946,8,44,13,15,2,0,0,0.06,13.3,18,0,6,1
Angelo Stiller,Stuttgart,Bundesliga,MF,24,27,2366,1,5,1.4,5.3,1.4,38000000.0,1818,2089,87.0,30881,10368,44,46,22,25,5,0,6,0.25,26.3,24,8,14,3
Leroy Sané,Bayern Munich,Bundesliga,FW,29,24,1315,9,4,8.7,4.4,8.7,38000000.0,602,729,82.6,8439,1462,28,18,6,7,2,0,13,0.9,14.6,12,6,54,20
Charles De Ketelaere,Atalanta,Serie A,"MF,FW",24,29,1762,5,5,5.1,5.3,5.1,38000000.0,635,836,76.0,9461,2506,34,12,2,10,1,0,10,0.53,19.6,8,9,41,17
Francisco Conceição,Juventus,Serie A,"FW,MF",22,20,1052,3,3,1.6,4.0,1.6,36000000.0,331,425,77.9,5591,834,21,16,4,6,5,1,6,0.49,11.7,8,9,28,11
Hakan Çalhanoğlu,Inter,Serie A,MF,31,23,1507,5,4,4.0,4.4,0.9,35000000.0,1151,1325,86.9,21963,6699,36,32,14,11,3,0,9,0.51,16.7,16,7,35,10
Mohamed Simakan,RB Leipzig,Bundesliga,DF,24,1,54,0,0,0.0,0.3,0.0,35000000.0,42,50,84.0,779,306,3,0,2,0,0,0,0,0.46,0.6,0,1,0,0
Harvey Elliott,Liverpool,Premier League,"MF,FW",22,11,128,0,1,0.2,0.8,0.2,35000000.0,110,137,80.3,1998,490,4,3,0,3,0,0,1,0.68,1.4,2,0,6,1
Antonee Robinson,Fulham,Premier League,DF,27,30,2629,0,10,0.7,4.0,0.7,35000000.0,1367,1780,76.8,23283,8546,38,79,50,33,7,0,10,0.16,29.2,51,26,16,2
Abdukodir Khusanov,Lens,Ligue 1,DF,21,13,975,0,0,0.2,0.3,0.2,35000000.0,483,548,88.1,8942,3769,2,15,26,17,2,1,0,0.05,10.8,11,1,6,4
Adam Wharton,Crystal Palace,Premier League,MF,20,15,1009,0,0,0.3,2.3,0.3,35000000.0,441,580,76.0,8360,3189,22,33,16,9,2,0,0,0.23,11.2,14,5,10,5
Guglielmo Vicario,Tottenham,Premier League,GK,28,18,1620,0,0,0.0,0.0,0.0,35000000.0,588,657,89.5,11262,6597,0,0,1,0,1,0,0,0.0,18.0,0,0,0,0
Mason Greenwood,Marseille,Ligue 1,"FW,MF",23,27,2191,15,3,12.2,4.2,7.4,35000000.0,881,1123,78.5,14720,3393,33,32,9,4,1,0,18,0.67,24.3,16,11,88,36
Gianluigi Donnarumma,Paris S-G,Ligue 1,GK,26,21,1821,0,0,0.0,0.0,0.0,35000000.0,498,573,86.9,11071,6383,0,1,0,0,2,0,0,0.0,20.2,1,0,0,0
Youri Tielemans,Aston Villa,Premier League,MF,27,31,2645,2,5,2.7,6.2,1.9,35000000.0,1462,1783,82.0,24923,8873,52,75,21,35,4,0,7,0.3,29.4,50,4,31,9
Matheus Nunes,Manchester City,Premier League,"DF,MF",26,20,1134,0,4,0.5,3.3,0.5,35000000.0,706,823,85.8,10996,1992,19,26,11,12,3,0,4,0.31,12.6,17,6,5,1
Rayan Aït-Nouri,Wolves,Premier League,DF,23,30,2549,3,5,2.3,3.5,2.3,35000000.0,1169,1387,84.3,16230,4857,32,77,21,38,6,1,8,0.2,28.3,47,5,28,7
Antoine Semenyo,Bournemouth,Premier League,FW,25,30,2645,7,4,8.9,5.2,8.9,35000000.0,657,902,72.8,9366,2399,40,50,7,54,9,0,11,0.48,29.4,32,7,112,35
Anthony Elanga,Nott'ham Forest,Premier League,FW,22,31,1975,6,8,3.9,4.3,3.9,35000000.0,410,631,65.0,5917,2017,39,17,5,9,1,0,14,0.38,21.9,12,6,35,16
Joshua Zirkzee,Manchester Utd,Premier League,"FW,MF",23,30,1328,3,1,4.5,1.5,4.5,35000000.0,278,388,71.6,3419,868,12,13,5,14,2,0,4,0.41,14.8,7,0,25,9
Justin Kluivert,Bournemouth,Premier League,"MF,FW",25,28,1936,12,6,9.9,4.7,5.1,35000000.0,451,622,72.5,7052,2015,43,20,13,20,6,0,18,0.68,21.5,9,4,50,22
Kingsley Coman,Bayern Munich,Bundesliga,FW,28,22,1039,4,4,3.8,3.2,3.8,35000000.0,512,601,85.2,8025,1354,30,15,7,7,0,0,8,0.6,11.5,10,5,38,15
Jack Grealish,Manchester City,Premier League,"FW,MF",29,17,699,1,1,1.1,1.8,1.1,35000000.0,372,424,87.7,5555,961,24,9,2,11,3,0,2,0.38,7.8,5,0,15,5
Enzo Millot,Stuttgart,Bundesliga,"MF,FW",22,26,1628,4,4,7.1,2.8,6.3,35000000.0,838,991,84.6,11921,2954,20,24,11,25,8,0,8,0.55,18.1,11,2,38,14
Jonathan Burkardt,Mainz 05,Bundesliga,FW,24,24,1665,15,2,11.9,2.7,11.1,35000000.0,308,430,71.6,5193,650,15,10,1,9,0,0,17,0.79,18.5,6,3,51,22
Manu Koné,Roma,Serie A,MF,23,26,1881,2,1,2.9,1.3,2.9,35000000.0,876,969,90.4,13926,3270,13,28,13,18,5,0,3,0.2,20.9,19,1,29,7
Giorgio Scalvini,Atalanta,Serie A,DF,21,6,272,0,0,0.1,0.0,0.1,35000000.0,165,195,84.6,2779,1088,0,8,4,0,2,0,0,0.05,3.0,4,0,4,0
Milos Kerkez,Bournemouth,Premier League,DF,21,31,2717,2,5,0.5,3.2,0.5,35000000.0,1060,1398,75.8,16753,5589,27,46,38,32,4,0,7,0.12,30.2,25,20,17,5
Mikel Merino,Arsenal,Premier League,"MF,FW",28,23,1329,6,1,3.9,1.4,3.9,35000000.0,390,499,78.2,5347,1557,14,32,13,17,2,0,7,0.36,14.8,18,3,29,12
Malo Gusto,Chelsea,Premier League,DF,21,25,1641,0,1,1.7,1.0,1.7,35000000.0,1056,1221,86.5,17193,4227,16,41,19,28,3,0,1,0.15,18.2,26,4,20,3
Liam Delap,Ipswich Town,Premier League,FW,22,30,2324,12,2,9.0,1.9,7.4,35000000.0,199,325,61.2,2780,618,20,10,2,8,8,0,14,0.42,25.8,7,0,58,26
Archie Gray,Tottenham,Premier League,"DF,MF",19,21,1245,0,0,0.0,0.1,0.0,35000000.0,842,939,89.7,14981,4671,2,12,8,18,0,0,0,0.01,13.8,6,0,1,1
Rayan Cherki,Lyon,Ligue 1,"FW,MF",21,24,1578,7,9,4.5,8.3,4.5,35000000.0,824,1052,78.3,13216,4012,58,14,6,6,3,0,16,0.73,17.5,11,3,33,13
Diogo Dalot,Manchester Utd,Premier League,DF,26,29,2576,0,2,2.0,1.9,2.0,35000000.0,1249,1552,80.5,20191,6207,22,60,35,20,4,0,2,0.13,28.6,35,8,23,5
Santiago Castro,Bologna,Serie A,FW,20,29,2117,8,4,7.0,2.3,6.2,35000000.0,328,424,77.4,5999,904,26,17,3,13,5,0,12,0.4,23.5,9,0,56,20
Carlos Baleba,Brighton,Premier League,MF,21,27,2057,2,1,3.0,1.1,3.0,35000000.0,832,959,86.8,14039,3633,18,61,39,35,8,1,3,0.18,22.9,32,2,39,10
Ezri Konsa,Aston Villa,Premier League,DF,27,27,2306,1,0,0.7,0.2,0.7,35000000.0,1249,1352,92.4,20887,6753,3,29,19,16,0,0,1,0.03,25.6,17,0,7,3
Evan Ferguson,West Ham,Premier League,FW,20,6,140,0,0,0.6,0.3,0.6,32000000.0,25,32,78.1,290,11,2,2,1,2,0,0,0,0.55,1.6,0,0,7,2
Georginio Rutter,Brighton,Premier League,"MF,FW",22,28,1656,5,3,4.6,2.5,4.6,32000000.0,237,355,66.8,3344,1174,19,39,10,20,2,0,8,0.39,18.4,15,1,50,12
Jacob Ramsey,Aston Villa,Premier League,"FW,MF",23,23,1341,1,3,1.3,2.0,1.3,32000000.0,420,493,85.2,5507,1314,16,24,7,19,1,0,4,0.22,14.9,13,1,15,4
André Onana,Manchester Utd,Premier League,GK,29,30,2700,0,0,0.0,0.2,0.0,32000000.0,846,1159,73.0,20073,12087,1,1,0,0,0,0,0,0.01,30.0,1,0,0,0
Jan Paul van Hecke,Brighton,Premier League,DF,24,29,2509,1,1,1.3,1.5,1.3,32000000.0,1738,1963,88.5,34493,13198,13,38,22,32,7,1,2,0.1,27.9,25,4,16,5
Mattéo Guendouzi,Lazio,Serie A,MF,25,30,2640,1,3,1.0,2.9,1.0,32000000.0,1553,1727,89.9,28746,8002,33,29,27,30,5,0,4,0.13,29.3,15,3,21,4
Noussair Mazraoui,Manchester Utd,Premier League,DF,27,30,2308,0,1,0.6,1.3,0.6,32000000.0,1251,1471,85.0,18719,6760,16,88,31,29,2,0,1,0.07,25.6,52,5,11,3
Davide Frattesi,Inter,Serie A,MF,25,24,940,5,1,3.8,0.7,3.8,32000000.0,248,301,82.4,3660,778,4,14,4,10,1,0,6,0.44,10.4,7,0,25,7
Emile Smith Rowe,Fulham,Premier League,MF,24,27,1790,5,2,4.1,1.1,4.1,32000000.0,802,889,90.2,11510,2218,18,29,10,19,1,0,7,0.26,19.9,16,1,32,8
Joachim Andersen,Fulham,Premier League,DF,28,21,1863,0,0,0.4,0.3,0.4,32000000.0,61,83,73.5,1227,526,0,22,28,22,5,1,0,0.04,1.0,17,0,1,1
Manuel Akanji,Manchester City,Premier League,DF,29,20,1707,0,0,0.7,0.4,0.7,32000000.0,1389,1479,93.9,22799,6245,9,15,7,11,3,0,0,0.06,19.0,10,2,10,1
Nathan Aké,Manchester City,Premier League,DF,30,10,678,0,0,0.2,0.0,0.2,32000000.0,509,542,93.9,8321,2950,1,9,3,7,0,0,0,0.03,7.5,7,0,3,0
Leon Bailey,Aston Villa,Premier League,"FW,MF",27,23,1138,1,2,1.7,1.5,1.7,32000000.0,273,386,70.7,4275,1048,16,6,3,6,3,0,3,0.26,12.6,4,2,28,6
Mohamed Amoura,Wolfsburg,Bundesliga,FW,24,24,1976,10,8,7.0,3.4,5.5,32000000.0,425,605,70.2,6588,1332,29,23,9,33,5,0,18,0.48,22.0,17,4,57,21
John Stones,Manchester City,Premier League,"DF,MF",30,11,548,2,0,0.4,0.1,0.4,30000000.0,367,403,91.1,6382,1601,2,6,4,5,1,0,2,0.08,6.1,2,0,2,2
Cristhian Mosquera,Valencia,La Liga,DF,20,29,2599,1,0,0.4,0.0,0.4,30000000.0,1413,1548,91.3,25875,8740,0,42,31,30,6,0,1,0.01,28.9,29,0,4,2
Giorgi Mamardashvili,Valencia,La Liga,GK,24,26,2340,0,0,0.0,0.1,0.0,30000000.0,520,795,65.4,15349,11362,2,0,1,0,1,0,0,0.0,26.0,0,0,0,0
Youssouf Fofana,Milan,Serie A,MF,26,29,2173,1,4,1.3,2.5,1.3,30000000.0,1071,1249,85.7,18528,6103,18,50,18,23,5,0,5,0.15,24.1,32,1,33,5
Isak Hien,Atalanta,Serie A,DF,26,24,1787,0,0,0.8,0.1,0.8,30000000.0,911,1012,90.0,17677,5592,1,39,22,24,8,0,0,0.04,19.9,24,0,5,2
Randal Kolo Muani,Juventus,Serie A,FW,26,8,625,5,1,2.6,0.6,1.8,30000000.0,76,115,66.1,988,141,10,6,0,3,0,0,6,0.46,6.9,3,0,13,7
Marc Cucurella,Chelsea,Premier League,DF,26,28,2344,4,1,2.2,1.7,2.2,30000000.0,1356,1540,88.1,21128,5919,14,52,20,38,9,1,5,0.15,26.0,35,3,17,7
Harvey Barnes,Newcastle Utd,Premier League,FW,27,24,992,5,3,3.7,3.0,3.7,30000000.0,278,352,79.0,3919,1254,16,10,6,5,0,0,8,0.61,11.0,6,6,40,12
Jonathan Tah,Leverkusen,Bundesliga,DF,29,27,2430,2,0,0.9,0.3,0.9,30000000.0,1816,1949,93.2,32504,12713,3,11,31,20,2,0,2,0.05,27.0,7,3,19,5
Rodrigo Bentancur,Tottenham,Premier League,MF,27,20,1336,2,0,1.3,0.4,1.3,30000000.0,804,909,88.4,12845,3107,9,33,32,22,7,0,2,0.12,14.8,16,2,22,5
David Neres,Napoli,Serie A,FW,28,23,1065,2,4,1.9,2.7,1.9,30000000.0,361,479,75.4,5218,1363,19,12,6,6,1,0,6,0.39,11.8,6,12,26,5
Elliot Anderson,Nott'ham Forest,Premier League,MF,22,30,2137,1,6,1.6,3.0,1.6,30000000.0,813,1036,78.5,12935,4450,32,72,24,39,6,0,7,0.19,23.7,48,2,33,5
Benjamin Pavard,Inter,Serie A,DF,29,21,1480,0,1,0.5,0.8,0.5,30000000.0,1003,1098,91.3,18291,5383,8,28,15,15,4,0,1,0.08,16.4,16,2,8,1
Pervis Estupiñán,Brighton,Premier League,DF,27,24,1862,1,1,0.7,1.9,0.7,30000000.0,1053,1260,83.6,16070,4861,22,47,25,12,3,0,2,0.13,20.7,31,18,18,5
Samuele Ricci,Torino,Serie A,MF,23,29,2458,1,1,1.2,0.5,1.2,30000000.0,1001,1141,87.7,17374,3588,11,32,24,21,8,0,2,0.06,27.3,18,0,19,6
Edson Álvarez,West Ham,Premier League,MF,27,25,1633,0,1,0.3,0.8,0.3,30000000.0,763,890,85.7,12891,3661,11,44,16,21,8,1,1,0.06,18.1,23,3,11,1
Simon Adingra,Brighton,Premier League,"FW,MF",23,22,743,2,1,1.6,1.4,1.6,30000000.0,193,259,74.5,2730,583,10,14,7,7,0,0,3,0.36,8.3,7,3,18,5
Reece James,Chelsea,Premier League,"DF,MF",25,12,690,1,0,0.2,0.3,0.2,30000000.0,482,567,85.0,8652,2966,7,7,8,11,1,0,1,0.06,7.7,7,1,5,1
Denis Zakaria,Monaco,Ligue 1,MF,28,20,1691,4,2,3.8,0.9,3.0,30000000.0,869,957,90.8,12714,4008,13,33,25,23,5,0,6,0.25,18.8,19,2,21,7
Bilal El Khannouss,Leicester City,Premier League,MF,20,25,1585,2,1,0.7,2.3,0.7,30000000.0,607,805,75.4,10766,2847,24,42,5,17,3,0,3,0.17,17.6,22,4,19,4
Lucas Hernández,Paris S-G,Ligue 1,DF,29,13,652,0,0,0.0,0.0,0.0,30000000.0,577,638,90.4,9992,3357,0,20,5,9,2,0,0,0.0,7.2,15,0,2,0
Cheick Doucouré,Crystal Palace,Premier League,MF,25,13,452,0,0,0.4,0.0,0.4,30000000.0,174,204,85.3,2909,823,1,16,11,4,1,0,0,0.08,5.0,8,0,7,0
Hiroki Ito,Bayern Munich,Bundesliga,DF,25,6,250,1,0,0.4,0.4,0.4,30000000.0,183,211,86.7,2740,750,3,2,6,3,1,0,1,0.27,2.8,0,1,1,1
Jean-Philippe Mateta,Crystal Palace,Premier League,FW,27,29,2257,13,2,11.6,3.0,10.0,30000000.0,257,395,65.1,3430,879,26,17,2,14,2,0,15,0.58,25.1,12,1,55,23
Yankuba Minteh,Brighton,Premier League,"FW,MF",20,25,1337,5,4,3.3,4.3,3.3,30000000.0,239,393,60.8,3914,1369,23,38,10,16,6,0,9,0.51,14.9,28,5,26,13
Lucas Chevalier,Lille,Ligue 1,GK,23,28,2520,0,0,0.0,0.9,0.0,30000000.0,694,880,78.9,17304,12208,2,3,0,0,0,0,0,0.03,28.0,2,0,0,0
Ayyoub Bouaddi,Lille,Ligue 1,MF,17,21,1031,0,1,0.0,1.0,0.0,30000000.0,435,488,89.1,7308,1458,5,48,9,10,2,0,1,0.09,11.5,30,0,1,1
Eliesse Ben Seghir,Monaco,Ligue 1,"MF,FW",20,27,1558,6,3,5.3,4.8,3.8,30000000.0,672,853,78.8,9498,2737,30,25,10,17,0,0,9,0.58,17.3,20,3,54,19
Artem Dovbyk,Roma,Serie A,FW,27,26,1985,11,2,11.3,2.1,9.7,30000000.0,263,359,73.3,2845,336,18,4,1,7,0,0,13,0.6,22.1,2,0,56,22
Lewis Hall,Newcastle Utd,Premier League,DF,20,27,2189,0,4,0.4,4.3,0.4,30000000.0,1300,1592,81.7,21999,8891,34,58,18,33,3,0,4,0.19,24.3,41,5,11,1
Leandro Trossard,Arsenal,Premier League,FW,30,31,2001,5,5,5.4,5.0,5.4,30000000.0,536,729,73.5,8875,2529,34,25,9,25,4,1,10,0.47,22.2,16,9,56,16
Raúl Asencio,Real Madrid,La Liga,DF,22,16,1099,0,1,0.1,0.5,0.1,30000000.0,657,705,93.2,11535,3697,3,17,9,5,1,0,1,0.05,12.2,11,0,2,0
Jadon Sancho,Chelsea,Premier League,FW,25,24,1497,2,4,1.8,3.3,1.8,30000000.0,567,682,83.1,7529,1712,30,10,1,7,1,0,6,0.3,16.6,6,0,20,5
Yoane Wissa,Brentford,Premier League,FW,28,27,2200,14,2,13.8,1.6,13.8,30000000.0,363,469,77.4,5277,1245,20,12,6,24,2,0,16,0.63,24.4,6,1,66,30
Mikel Oyarzabal,Real Sociedad,La Liga,FW,27,26,1587,5,2,5.4,2.3,3.8,30000000.0,275,374,73.5,3600,658,11,15,4,11,3,1,7,0.43,17.6,9,2,28,8
Felix Nmecha,Dortmund,Bundesliga,MF,24,20,1152,2,1,0.3,0.8,0.3,28000000.0,619,706,87.7,11288,2789,9,27,18,18,2,0,3,0.08,12.8,18,0,8,2
Manuel Locatelli,Juventus,Serie A,MF,27,28,2136,0,2,0.7,1.0,0.7,28000000.0,1640,1864,88.0,30982,10386,18,48,20,43,6,0,2,0.08,23.7,31,1,16,5
Vitaliy Mykolenko,Everton,Premier League,DF,25,28,2452,0,1,0.4,1.5,0.4,28000000.0,746,1021,73.1,12422,5053,18,52,32,22,2,0,1,0.07,27.2,31,17,11,0
Joe Willock,Newcastle Utd,Premier League,"MF,FW",25,26,843,0,2,0.9,1.6,0.9,28000000.0,225,273,82.4,3203,714,18,21,5,19,2,0,2,0.27,9.4,12,0,13,3
Mason Mount,Manchester Utd,Premier League,"MF,FW",26,9,260,0,0,0.5,0.1,0.5,28000000.0,79,100,79.0,1173,253,4,6,0,4,2,0,0,0.21,2.9,2,0,4,2
Yves Bissouma,Tottenham,Premier League,MF,28,22,1145,2,0,0.6,0.2,0.6,28000000.0,645,723,89.2,9824,2611,5,40,14,7,6,0,2,0.06,12.7,26,1,9,3
Marcos Llorente,Atlético Madrid,La Liga,"DF,MF",30,24,1703,2,3,0.7,3.6,0.7,28000000.0,886,1043,84.9,13313,3674,20,48,20,20,0,1,5,0.23,18.9,36,11,14,5
Matty Cash,Aston Villa,Premier League,DF,27,20,1476,1,1,0.3,1.1,0.3,28000000.0,523,670,78.1,8602,2612,10,41,20,16,6,0,2,0.08,16.4,23,4,8,4
Antonio Nusa,RB Leipzig,Bundesliga,"MF,DF",19,21,1440,3,3,1.6,2.6,1.6,28000000.0,383,520,73.7,5439,1769,18,30,8,20,0,0,6,0.26,16.0,17,6,22,6
Ian Maatsen,Aston Villa,Premier League,DF,23,23,707,0,2,0.4,2.0,0.4,28000000.0,401,492,81.5,6546,1776,17,18,10,6,2,0,2,0.31,7.9,9,3,10,4
Nicolò Rovella,Lazio,Serie A,MF,23,25,2094,0,2,1.0,1.9,1.0,28000000.0,1443,1610,89.6,26364,6525,24,62,39,14,10,0,2,0.12,23.3,38,2,21,8
Myles Lewis-Skelly,Arsenal,Premier League,DF,18,16,930,1,0,0.0,0.3,0.0,28000000.0,462,513,90.1,6744,1507,5,21,5,1,2,2,1,0.03,10.3,14,0,1,1
Virgil van Dijk,Liverpool,Premier League,DF,33,30,2700,1,1,1.6,0.5,1.6,28000000.0,2158,2353,91.7,39126,15436,10,33,48,22,3,0,2,0.07,30.0,15,0,19,6
Unai Simón,Athletic Club,La Liga,GK,27,12,1080,0,0,0.0,0.0,0.0,28000000.0,244,341,71.6,6748,5390,0,0,0,1,0,0,0,0.0,12.0,0,0,0,0
Nathan Collins,Brentford,Premier League,DF,23,30,2700,2,1,2.3,1.4,2.3,28000000.0,1396,1623,86.0,26435,9017,7,33,26,63,4,0,3,0.12,30.0,19,2,15,5
Ibrahim Sangaré,Nott'ham Forest,Premier League,MF,27,8,279,0,1,0.0,0.4,0.0,28000000.0,117,149,78.5,1700,531,3,18,2,5,2,0,1,0.12,3.1,10,0,1,1
Nikola Milenković,Nott'ham Forest,Premier League,DF,27,30,2700,4,2,3.6,0.8,3.6,28000000.0,659,812,81.2,13149,4877,7,39,21,36,4,0,6,0.15,30.0,24,0,26,7
Brais Méndez,Real Sociedad,La Liga,MF,28,21,1259,3,1,2.8,1.7,2.8,28000000.0,522,667,78.3,7872,2279,19,18,6,10,4,0,4,0.32,14.0,11,2,23,8
Denzel Dumfries,Inter,Serie A,"DF,FW",28,25,1761,6,2,5.1,2.6,5.1,28000000.0,530,727,72.9,8580,2689,20,25,6,25,4,0,8,0.39,19.6,18,8,33,17
Jean-Clair Todibo,West Ham,Premier League,DF,25,20,1228,0,0,0.2,0.0,0.2,28000000.0,617,712,86.7,11040,3797,2,31,19,19,2,0,0,0.01,13.6,19,0,4,0
Mario Gila,Lazio,Serie A,DF,24,25,2181,1,0,0.9,0.5,0.9,28000000.0,1479,1611,91.8,28850,9247,11,43,21,19,6,0,1,0.06,24.2,30,0,11,3
Kevin De Bruyne,Manchester City,Premier League,MF,33,20,1103,2,6,2.6,6.1,2.6,27000000.0,634,820,77.3,10799,3134,41,11,5,6,2,0,8,0.71,12.3,5,9,37,9
Lutsharel Geertruida,RB Leipzig,Bundesliga,DF,24,19,1313,1,0,1.1,0.8,1.1,27000000.0,802,929,86.3,13620,5049,8,30,15,12,2,0,1,0.13,14.6,19,3,8,1
Kevin Schade,Brentford,Premier League,FW,23,30,1665,7,2,5.9,3.1,5.9,27000000.0,248,429,57.8,3892,1094,17,29,4,13,2,0,9,0.48,18.5,20,2,42,18
Patrik Schick,Leverkusen,Bundesliga,FW,29,25,1254,17,0,10.4,0.6,10.4,27000000.0,239,306,78.1,2929,372,11,5,2,5,4,0,17,0.79,13.9,4,0,56,27
Mats Wieffer,Brighton,Premier League,MF,25,19,514,1,1,0.5,0.8,0.5,27000000.0,341,393,86.8,5698,1560,9,24,8,11,4,0,2,0.23,5.7,12,0,6,2
Wesley Fofana,Chelsea,Premier League,DF,24,14,1172,0,0,0.4,0.4,0.4,27000000.0,724,803,90.2,12262,3415,6,13,14,14,7,0,0,0.07,13.0,12,0,3,0
Jørgen Strand Larsen,Wolves,Premier League,FW,25,29,2245,11,2,7.8,2.4,7.8,27000000.0,249,386,64.5,3213,600,19,8,4,17,4,0,13,0.41,24.9,5,1,44,29
Pierre Kalulu,Juventus,Serie A,DF,24,23,1828,1,0,0.7,0.2,0.7,26000000.0,1652,1758,94.0,27408,8067,7,31,14,23,2,0,1,0.04,20.3,18,2,7,3
Axel Disasi,Aston Villa,Premier League,DF,27,6,460,0,0,0.1,0.4,0.1,25000000.0,237,271,87.5,4018,1516,3,7,2,4,2,0,0,0.09,4.0,4,0,2,1
Kevin Danso,Lens,Ligue 1,DF,26,12,1080,0,0,0.5,1.0,0.5,25000000.0,659,770,85.6,12021,4233,6,19,20,25,3,0,0,0.13,12.0,7,0,10,2
Daniel Muñoz,Crystal Palace,Premier League,DF,28,29,2508,4,4,4.2,3.8,4.2,25000000.0,890,1181,75.4,13645,3820,34,97,31,28,7,0,8,0.29,27.9,64,9,30,12
Mika Biereth,Monaco,Ligue 1,FW,22,11,892,12,2,9.8,3.7,8.2,25000000.0,120,181,66.3,1682,427,17,3,3,9,0,0,14,1.36,9.9,3,0,34,17
Lucas Beraldo,Paris S-G,Ligue 1,DF,21,19,1612,1,0,0.7,0.3,0.7,25000000.0,1577,1674,94.2,27402,9439,7,31,19,12,5,0,1,0.06,17.9,24,2,10,4
Tyrick Mitchell,Crystal Palace,Premier League,DF,25,30,2520,0,4,1.2,5.3,1.2,25000000.0,813,1128,72.1,13129,5069,35,77,13,54,2,0,4,0.24,28.0,49,13,11,2
