Jugador,Equipo,Competición,Posición,Edad,Partidos,Minutos,Goles,Asistencias,xG,xAG,npxG,ValorMercado,PasesCompletados,IntentosPase,PctPasesCompletados,DistanciaTotalPases,DistanciaProgresiva,PasesClave,Entradas,Intercepciones,Bloqueos,TarjetasAmarillas,TarjetasRojas,Goles_Asistencias,xG_xAG,Equiv_90min,EntradasGanadas,AsistDesdeCruzados,Tiros,TirosAlArco
Jeremie Frimpong,Leverkusen,Bundesliga,"DF,MF",24,28,1964,4,5,3.9,3.9,3.9,50000000.0,597,779,76.6,8750,1970,25,30,8,21,3,0,9,0.36,21.8,22,14,30,15
Morgan Gibbs-White,Nott'ham Forest,Premier League,MF,25,27,2198,5,7,4.2,4.4,4.2,50000000.0,802,1018,78.8,12236,3818,44,37,17,13,8,1,12,0.35,24.4,17,7,47,16
Alphonso Davies,Bayern Munich,Bundesliga,DF,24,19,1560,1,2,1.2,1.6,1.2,50000000.0,1141,1272,89.7,16222,3977,27,30,13,14,0,0,3,0.16,17.3,17,2,17,3
Castello Lukeba,RB Leipzig,Bundesliga,DF,22,18,1127,0,0,0.4,0.2,0.4,50000000.0,828,936,88.5,14085,5768,3,25,13,19,2,0,0,0.04,12.5,12,1,4,1
Morgan Rogers,Aston Villa,Premier League,"FW,MF",22,30,2513,8,6,5.7,6.1,5.7,50000000.0,545,746,73.1,7836,2721,41,32,5,22,8,0,14,0.42,27.9,16,2,48,16
Aleksandar Pavlovic,Bayern Munich,Bundesliga,MF,20,15,1041,1,0,0.4,0.2,0.4,50000000.0,1073,1143,93.9,16854,4086,5,30,3,17,2,0,1,0.05,11.6,16,1,7,3
Jarrad Branthwaite,Everton,Premier League,DF,22,24,1988,0,1,0.8,0.6,0.8,50000000.0,721,886,81.4,13968,5467,2,32,23,26,3,0,1,0.06,22.1,18,0,7,2
Ollie Watkins,Aston Villa,Premier League,FW,29,31,2142,13,6,13.9,2.7,12.3,50000000.0,256,350,73.1,3204,514,20,7,6,11,1,0,19,0.69,23.8,5,0,70,30
Ben White,Arsenal,Premier League,DF,27,12,766,0,1,0.4,0.7,0.4,50000000.0,334,401,83.3,5522,1868,4,11,12,7,2,0,1,0.13,8.5,7,1,6,1
Tijjani Reijnders,Milan,Serie A,MF,26,30,2498,9,3,5.6,2.9,5.6,50000000.0,1055,1215,86.8,17670,5089,41,23,29,17,2,1,12,0.31,27.8,13,1,62,25
Dayot Upamecano,Bayern Munich,Bundesliga,DF,26,20,1759,2,0,1.2,0.5,1.2,50000000.0,1805,1923,93.9,34017,11145,7,36,34,17,6,0,2,0.09,19.5,22,1,13,6
Christian Pulisic,Milan,Serie A,"FW,MF",26,27,1885,9,7,9.9,5.2,6.7,50000000.0,627,825,76.0,9267,2329,56,33,3,19,1,0,16,0.72,20.9,21,8,39,17
Pablo Barrios,Atlético Madrid,La Liga,MF,21,23,1781,0,2,0.9,1.4,0.9,50000000.0,979,1143,85.7,15460,4073,19,34,27,11,4,1,2,0.12,19.8,19,2,24,5
Jonathan David,Lille,Ligue 1,FW,25,26,2060,14,3,14.1,3.6,8.6,45000000.0,450,551,81.7,5873,905,28,18,4,11,4,0,17,0.77,22.9,4,0,50,22
Lisandro Martínez,Manchester Utd,Premier League,DF,27,20,1751,2,1,1.3,1.1,1.3,45000000.0,1200,1342,89.4,20292,7055,9,40,32,22,7,0,3,0.13,19.5,24,2,17,6
Mateo Retegui,Atalanta,Serie A,FW,25,28,1720,22,4,14.1,3.2,11.0,45000000.0,334,428,78.0,4671,651,27,12,2,3,2,0,26,0.91,19.1,7,0,72,26
Alejandro Garnacho,Manchester Utd,Premier League,"MF,FW",20,29,1732,4,1,6.0,2.8,6.0,45000000.0,509,640,79.5,7199,937,26,22,10,16,2,0,5,0.46,19.2,15,3,68,25
